web-scraper-order,web-scraper-start-url,page,page-href,title,episode,number of ratings
"1544664634-1069","https://www.imdb.com/title/tt0367279/","4","https://www.imdb.com/title/tt0367279/episodes?season=4&ref_=tt_eps_sn_4","Colony Collapse","S4, Ep7","(1,223)"
"1544664636-1092","https://www.imdb.com/title/tt0367279/","5","https://www.imdb.com/title/tt0367279/episodes?season=5&ref_=tt_eps_sn_5","Episode #5.15","S5, Ep15","null"
"1544664634-1072","https://www.imdb.com/title/tt0367279/","4","https://www.imdb.com/title/tt0367279/episodes?season=4&ref_=tt_eps_sn_4","Queen B.","S4, Ep10","(1,023)"
"1544664626-1037","https://www.imdb.com/title/tt0367279/","2","https://www.imdb.com/title/tt0367279/episodes?season=2&ref_=tt_eps_sn_2","Afternoon Delight","S2, Ep6","(1,789)"
"1544664631-1055","https://www.imdb.com/title/tt0367279/","3","https://www.imdb.com/title/tt0367279/episodes?season=3&ref_=tt_eps_sn_3","The Ocean Walker","S3, Ep6","(1,394)"
"1544664631-1057","https://www.imdb.com/title/tt0367279/","3","https://www.imdb.com/title/tt0367279/episodes?season=3&ref_=tt_eps_sn_3","Making a Stand","S3, Ep8","(1,414)"
"1544664626-1048","https://www.imdb.com/title/tt0367279/","2","https://www.imdb.com/title/tt0367279/episodes?season=2&ref_=tt_eps_sn_2","Spring Breakout","S2, Ep17","(1,367)"
"1544664623-1027","https://www.imdb.com/title/tt0367279/","1","https://www.imdb.com/title/tt0367279/episodes?season=1&ref_=tt_eps_sn_1","Missing Kitty","S1, Ep18","(1,528)"
"1544664626-1040","https://www.imdb.com/title/tt0367279/","2","https://www.imdb.com/title/tt0367279/episodes?season=2&ref_=tt_eps_sn_2","Burning Love","S2, Ep9","(1,389)"
"1544664623-1023","https://www.imdb.com/title/tt0367279/","1","https://www.imdb.com/title/tt0367279/episodes?season=1&ref_=tt_eps_sn_1","Shock and Aww","S1, Ep14","(1,674)"
"1544664636-1081","https://www.imdb.com/title/tt0367279/","5","https://www.imdb.com/title/tt0367279/episodes?season=5&ref_=tt_eps_sn_5","An Old Start","S5, Ep4","(447)"
"1544664634-1071","https://www.imdb.com/title/tt0367279/","4","https://www.imdb.com/title/tt0367279/episodes?season=4&ref_=tt_eps_sn_4","Smashed","S4, Ep9","(1,034)"
"1544664631-1050","https://www.imdb.com/title/tt0367279/","3","https://www.imdb.com/title/tt0367279/episodes?season=3&ref_=tt_eps_sn_3","The Cabin Show","S3, Ep1","(1,393)"
"1544664631-1053","https://www.imdb.com/title/tt0367279/","3","https://www.imdb.com/title/tt0367279/episodes?season=3&ref_=tt_eps_sn_3","Notapusy","S3, Ep4","(1,392)"
"1544664634-1070","https://www.imdb.com/title/tt0367279/","4","https://www.imdb.com/title/tt0367279/episodes?season=4&ref_=tt_eps_sn_4","Red Hairing","S4, Ep8","(1,047)"
"1544664626-1032","https://www.imdb.com/title/tt0367279/","2","https://www.imdb.com/title/tt0367279/episodes?season=2&ref_=tt_eps_sn_2","The One Where Michael Leaves","S2, Ep1","(1,533)"
"1544664623-1021","https://www.imdb.com/title/tt0367279/","1","https://www.imdb.com/title/tt0367279/episodes?season=1&ref_=tt_eps_sn_1","Marta Complex","S1, Ep12","(1,638)"
"1544664623-1022","https://www.imdb.com/title/tt0367279/","1","https://www.imdb.com/title/tt0367279/episodes?season=1&ref_=tt_eps_sn_1","Beef Consomme","S1, Ep13","(1,627)"
"1544664626-1045","https://www.imdb.com/title/tt0367279/","2","https://www.imdb.com/title/tt0367279/episodes?season=2&ref_=tt_eps_sn_2","The Immaculate Election","S2, Ep14","(1,398)"
"1544664626-1049","https://www.imdb.com/title/tt0367279/","2","https://www.imdb.com/title/tt0367279/episodes?season=2&ref_=tt_eps_sn_2","Righteous Brothers","S2, Ep18","(1,472)"
"1544664623-1011","https://www.imdb.com/title/tt0367279/","1","https://www.imdb.com/title/tt0367279/episodes?season=1&ref_=tt_eps_sn_1","Top Banana","S1, Ep2","(2,231)"
"1544664634-1074","https://www.imdb.com/title/tt0367279/","4","https://www.imdb.com/title/tt0367279/episodes?season=4&ref_=tt_eps_sn_4","Señoritis","S4, Ep12","(1,014)"
"1544664623-1013","https://www.imdb.com/title/tt0367279/","1","https://www.imdb.com/title/tt0367279/episodes?season=1&ref_=tt_eps_sn_1","Key Decisions","S1, Ep4","(1,943)"
"1544664626-1038","https://www.imdb.com/title/tt0367279/","2","https://www.imdb.com/title/tt0367279/episodes?season=2&ref_=tt_eps_sn_2","Switch Hitter","S2, Ep7","(1,405)"
"1544664634-1075","https://www.imdb.com/title/tt0367279/","4","https://www.imdb.com/title/tt0367279/episodes?season=4&ref_=tt_eps_sn_4","It Gets Better","S4, Ep13","(1,020)"
"1544664626-1033","https://www.imdb.com/title/tt0367279/","2","https://www.imdb.com/title/tt0367279/episodes?season=2&ref_=tt_eps_sn_2","The One Where They Build a House","S2, Ep2","(1,528)"
"1544664636-1080","https://www.imdb.com/title/tt0367279/","5","https://www.imdb.com/title/tt0367279/episodes?season=5&ref_=tt_eps_sn_5","Everyone Gets Atrophy","S5, Ep3","(476)"
"1544664623-1029","https://www.imdb.com/title/tt0367279/","1","https://www.imdb.com/title/tt0367279/episodes?season=1&ref_=tt_eps_sn_1","Whistler's Mother","S1, Ep20","(1,500)"
"1544664636-1093","https://www.imdb.com/title/tt0367279/","5","https://www.imdb.com/title/tt0367279/episodes?season=5&ref_=tt_eps_sn_5","Episode #5.16","S5, Ep16","(46)"
"1544664626-1039","https://www.imdb.com/title/tt0367279/","2","https://www.imdb.com/title/tt0367279/episodes?season=2&ref_=tt_eps_sn_2","Queen for a Day","S2, Ep8","(1,374)"
"1544664634-1073","https://www.imdb.com/title/tt0367279/","4","https://www.imdb.com/title/tt0367279/episodes?season=4&ref_=tt_eps_sn_4","A New Attitude","S4, Ep11","(1,146)"
"1544664636-1088","https://www.imdb.com/title/tt0367279/","5","https://www.imdb.com/title/tt0367279/episodes?season=5&ref_=tt_eps_sn_5","Episode #5.11","S5, Ep11","null"
