ID,Title,Director,Writer,Original Air Date,Rating,All,Anchor,Announcer,Barbra Streisand,Barbrady,Bebe,Big Gay Al,Bill,Blaine,Blonde,Boy,Boys,BSM-471,Butters,Cartman,Celine Dion,Chef,Chief Elder,Choir Teacher,Chris,Class,Clerk,Clyde,Commander,Connelly,Craig,Crowd,Damien,Doctor,Dr. Adams,Dr. Doctor,Dr. Lott,Dr. Mephesto,Elder Garth,Elton John,Estella,Evil Cartman,Frank,Gerald,Goat,God,Grandpa,Greenfield,HBC President,Howard,Ike,Jakov,Jesus,Jimbo,Jimmy,Joe,Johnson,Jonathan,Kelly,Kenny,Kids,Kitty,Kyle,Kyle Two,Lamond,Larry,Leonard Maltin,Liane,Linda,Loogie,Man,Man 1,Man 2,Man 3,Manager,Manson,Mark,Martha,Marvin,Mayor,Mayor McDaniels,Mephesto,Miss Stevens,Mr. Adler,Mr. Cotswolds,Mr. Garrison,Mr. Garrison Sr.,Mr. Hankey,Mr. Hat,Mr. Mackey,Mr. Ose,Mrs. McCormick,Ms. Choksondik,Ms. Crabtree,Ms. Ellen,Ms. Havisham,NAMBLA Leader,Narrator,Ned,Nerd #1,Nurse Gollum,Officer Barbrady,Operator,Petey,Phillip,Pip,Pocket,Postum,President Hirohito,Priest Maxi,Principal Victoria,Producer,Randy,Rebecca,Receptionist,Reporter,Richard,Rick,Robert Redford,Romper Stomper,Saddam,Sally,Santa,Satan,Scott,Sharon,Sheila,Shelly,Singer,Sister Anne,Skyler,Soldier,Sphinx,Squirt leader,Stan,"Stan, Kyle",Steven,Stuart,Terrance,The Boys,Thomas,Timmy,Token,Tom,Towelie,Truck Driver,Tweek,Wendy,Woman,,
1_1," ""Cartman Gets an Anal Probe""",Trey Parker,Brian Graden & Dan Sterling & Matt Stone & Trey Parker,8/13/1997,8.1,,,,,,,,,,1,,4,,,98,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,4,,,89,,,,,12,,,,,,,,,,,,,,,,,,7,,,3,,,,,8,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,20,,,
1_2," ""Weight Gain 4000""",Matt Stone & Trey Parker,Brian Graden & Dan Sterling & Matt Stone & Trey Parker,8/20/1997,7.8,,,,,,2,,,,,,,,,55,,12,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,3,,,3,,,20,,,,,3,,,,,,,,,,,,,29,,,,,53,,,15,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,,,,,,,,,,,,30,,,
1_3," ""Volcano""",Matt Stone & Trey Parker,Brian Graden & Dan Sterling & Matt Stone & Trey Parker,8/27/1997,7.9,,,,,,,,,,,,,,,50,,7,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,66,,,5,,,9,,,33,,,,,6,,,,,,,,,,,,,21,,,,,2,,,,,,,,,,,,,23,,,4,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,41,1,,,,,,,,,,,,,,,
1_4," ""Big Gay Al's Big Gay Boat Ride """,Trey Parker,Brian Graden & Dan Sterling & Matt Stone & Trey Parker,9/3/1997,7.8,,,,,,,27,3,,,,,,,30,,35,,,,,,3,,,,2,,,,,,,,,,,28,,,,,,,,,,5,41,,,,,,3,,,34,,,,,,,,,,,,,,,,,,,,,,,21,,,4,,,,,,,,,,8,,,,,,,9,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,
1_5," ""An Elephant Makes Love to a Pig""",Trey Parker,Brian Graden & Dan Sterling & Matt Stone & Trey Parker,9/10/1997,7.7,,,,,,1,,4,,,,1,,,41,,24,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,4,2,,,,,,6,,,65,,,,,,,,,,,,,,,,,,,27,,,,20,,,3,,,,,3,,,,,,,,2,,,,6,,,,,,,3,,,,,,,,,,,,,1,,11,,,,,,,58,,,,15,,,,,1,,,,,1,,
1_6," ""Death""",Matt Stone & Trey Parker,Brian Graden & Dan Sterling & Matt Stone & Trey Parker,9/17/1997,8.2,2,,,,,,,,,,,,,,34,,6,,,,1,,2,,,,1,,,,,,,,,,,,,,,48,,,,,,12,,,,,,,7,4,,25,,,,,5,,,,,,,,,,,,,1,,,,,19,,,1,,,,,,,,,,,,,1,,,15,,,,,,,,9,,,,,,,,,,,,,10,26,6,1,,,,,,75,,,,18,,,,,,,,,,,,
1_7," ""Pinkeye""",Matt Stone & Trey Parker,Andrew Borakove & Brian Graden & Carol Watson & Dan Sterling & Dave Polsky & David R. Goodman & Matt Stone & Philip Stark & Trey Parker,10/29/1997,8.5,,,,,,,,3,,,,,,,71,,36,,,,,,2,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,49,,,,,4,,,,,,,,,,,,1,4,,,,,12,,,1,,,,,3,,,,1,,,,4,,,,2,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,67,1,,,,5,,,,2,,,,20,,,
1_8," ""Damien""",Trey Parker,Brian Graden & David R. Goodman & Matt Stone & Philip Stark & Trey Parker,11/19/1997,8.2,,,2,,,2,,,,1,,,,,46,,22,,,,,,1,,,,,27,,,,,,,,,,,,,,,,,,,,40,12,,,,,,4,,,40,,,,,3,,,,1,1,,,,,,,,,,,,,17,,,,4,,,,,,,,,1,,,,,,,14,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,51,2,,,,,,,,,,,,,,,
1_9," ""Starvin' Marvin""",Matt Stone & Trey Parker,Brian Graden & David R. Goodman & Matt Stone & Philip Stark & Trey Parker,12/17/1997,8.2,1,,,,,1,,,,,,,,,64,,19,,,,1,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,34,,,,,7,,,4,,,,,,,,5,,25,21,,,,18,,,1,,,3,,,,,,,,,,2,,,9,1,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,38,1,,2,10,,,,,,,,,3,4,,
1_10," ""Mr. Hankey, the Christmas Poo """,Trey Parker,Andrew Borakove & Brian Graden & Dan Sterling & Dave Polsky & David R. Goodman & Matt Stone & Philip Stark & Trey Parker,2/4/1998,8.1,,,,,,,,,,,,,,,31,,10,,,,1,,,,,,2,,,,,,,,,,,,12,,,,,,,1,,1,,,,,,,7,,,70,,,,,,,,1,3,1,,,,,,,,9,,,,,29,,28,,13,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,29,,,,,,,,,,,,,9,2,,
