web-scraper-order,web-scraper-start-url,page,page-href,episode,title,number of ratings
"1544663761-664","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","5","https://www.imdb.com/title/tt0386676/episodes?season=5&ref_=tt_eps_sn_5","S5, Ep18","New Boss","(1,637)"
"1544663766-714","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","7","https://www.imdb.com/title/tt0386676/episodes?season=7&ref_=tt_eps_sn_7","S7, Ep16","Threat Level Midnight","(3,012)"
"1544663754-605","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","2","https://www.imdb.com/title/tt0386676/episodes?season=2&ref_=tt_eps_sn_2","S2, Ep18","Take Your Daughter to Work Day","(2,106)"
"1544663754-596","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","2","https://www.imdb.com/title/tt0386676/episodes?season=2&ref_=tt_eps_sn_2","S2, Ep9","E-Mail Surveillance","(2,198)"
"1544663764-697","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","6","https://www.imdb.com/title/tt0386676/episodes?season=6&ref_=tt_eps_sn_6","S6, Ep25","The Chump","(1,360)"
"1544663761-663","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","5","https://www.imdb.com/title/tt0386676/episodes?season=5&ref_=tt_eps_sn_5","S5, Ep17","Golden Ticket","(1,725)"
"1544663754-594","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","2","https://www.imdb.com/title/tt0386676/episodes?season=2&ref_=tt_eps_sn_2","S2, Ep7","The Client","(2,282)"
"1544663771-757","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","9","https://www.imdb.com/title/tt0386676/episodes?season=9&ref_=tt_eps_sn_9","S9, Ep11","Suit Warehouse","(1,239)"
"1544663752-585","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","1","https://www.imdb.com/title/tt0386676/episodes?season=1&ref_=tt_eps_sn_1","S1, Ep4","The Alliance","(2,521)"
"1544663761-670","https://www.imdb.com/title/tt0386676/?ref_=ttep_ep_tt","5","https://www.imdb.com/title/tt0386676/episodes?season=5&ref_=tt_eps_sn_5","S5, Ep24","Casual Friday","(1,605)"
